Scenario,Experiment,Model,Method,CovGap,AvgSize,F1 Score,CovGap_mean,CovGap_se,AvgSize_mean,AvgSize_se
s3,s3_9,Random Forest,Standard,0.09 (0.003),2.02 (0.024),0.64,0.09,0.003,2.02,0.024
s3,s3_9,Random Forest,Classwise,0.02 (0.003),2.38 (0.036),0.64,0.02,0.003,2.38,0.036
s3,s3_9,Random Forest,Clustered,0.09 (0.003),2.02 (0.025),0.64,0.09,0.003,2.02,0.025
s3,s3_9,Random Forest,Augmented,0.01 (0.002),2.28 (0.019),0.64,0.01,0.002,2.28,0.019
s3,s3_9,XGBoost,Standard,0.03 (0.003),1.50 (0.020),0.82,0.03,0.003,1.5,0.02
s3,s3_9,XGBoost,Classwise,0.01 (0.003),1.61 (0.023),0.82,0.01,0.003,1.61,0.023
s3,s3_9,XGBoost,Clustered,0.03 (0.003),1.50 (0.021),0.82,0.03,0.003,1.5,0.021
s3,s3_9,XGBoost,Augmented,0.01 (0.003),1.51 (0.014),0.82,0.01,0.003,1.51,0.014
s3,s3_9,MLP Neural Net,Standard,0.03 (0.003),1.00 (0.006),0.91,0.03,0.003,1.0,0.006
s3,s3_9,MLP Neural Net,Classwise,0.02 (0.003),1.02 (0.006),0.91,0.02,0.003,1.02,0.006
s3,s3_9,MLP Neural Net,Clustered,0.03 (0.003),1.00 (0.006),0.91,0.03,0.003,1.0,0.006
s3,s3_9,MLP Neural Net,Augmented,0.01 (0.003),1.01 (0.005),0.91,0.01,0.003,1.01,0.005
s3,s3_10,Random Forest,Standard,0.19 (0.003),3.72 (0.029),0.23,0.19,0.003,3.72,0.029
s3,s3_10,Random Forest,Classwise,0.01 (0.003),4.66 (0.058),0.23,0.01,0.003,4.66,0.058
s3,s3_10,Random Forest,Clustered,0.19 (0.003),3.75 (0.031),0.23,0.19,0.003,3.75,0.031
s3,s3_10,Random Forest,Augmented,0.02 (0.002),4.87 (0.033),0.23,0.02,0.002,4.87,0.033
s3,s3_10,XGBoost,Standard,0.09 (0.003),2.17 (0.027),0.62,0.09,0.003,2.17,0.027
s3,s3_10,XGBoost,Classwise,0.02 (0.003),2.53 (0.031),0.62,0.02,0.003,2.53,0.031
s3,s3_10,XGBoost,Clustered,0.09 (0.003),2.18 (0.028),0.62,0.09,0.003,2.18,0.028
s3,s3_10,XGBoost,Augmented,0.03 (0.003),2.35 (0.019),0.62,0.03,0.003,2.35,0.019
s3,s3_10,MLP Neural Net,Standard,0.07 (0.003),1.13 (0.006),0.80,0.07,0.003,1.13,0.006
s3,s3_10,MLP Neural Net,Classwise,0.01 (0.002),1.31 (0.011),0.80,0.01,0.002,1.31,0.011
s3,s3_10,MLP Neural Net,Clustered,0.07 (0.003),1.13 (0.006),0.80,0.07,0.003,1.13,0.006
s3,s3_10,MLP Neural Net,Augmented,0.02 (0.002),1.21 (0.006),0.80,0.02,0.002,1.21,0.006
s4,s4_1,Random Forest,Standard,0.02 (0.003),1.61 (0.018),0.81,0.02,0.003,1.61,0.018
s4,s4_1,Random Forest,Classwise,0.01 (0.003),1.63 (0.018),0.81,0.01,0.003,1.63,0.018
s4,s4_1,Random Forest,Clustered,0.02 (0.003),1.61 (0.019),0.81,0.02,0.003,1.61,0.019
s4,s4_1,Random Forest,Augmented,0.01 (0.003),1.61 (0.014),0.81,0.01,0.003,1.61,0.014
s4,s4_1,XGBoost,Standard,0.02 (0.002),1.46 (0.014),0.81,0.02,0.002,1.46,0.014
s4,s4_1,XGBoost,Classwise,0.01 (0.003),1.49 (0.015),0.81,0.01,0.003,1.49,0.015
s4,s4_1,XGBoost,Clustered,0.02 (0.002),1.46 (0.015),0.81,0.02,0.002,1.46,0.015
s4,s4_1,XGBoost,Augmented,0.01 (0.003),1.47 (0.012),0.81,0.01,0.003,1.47,0.012
s4,s4_1,MLP Neural Net,Standard,0.02 (0.002),1.22 (0.010),0.88,0.02,0.002,1.22,0.01
s4,s4_1,MLP Neural Net,Classwise,0.01 (0.003),1.24 (0.011),0.88,0.01,0.003,1.24,0.011
s4,s4_1,MLP Neural Net,Clustered,0.02 (0.002),1.22 (0.011),0.88,0.02,0.002,1.22,0.011
s4,s4_1,MLP Neural Net,Augmented,0.01 (0.003),1.22 (0.009),0.88,0.01,0.003,1.22,0.009
s4,s4_2,Random Forest,Standard,0.03 (0.002),1.79 (0.019),0.78,0.03,0.002,1.79,0.019
s4,s4_2,Random Forest,Classwise,0.01 (0.003),1.83 (0.020),0.78,0.01,0.003,1.83,0.02
s4,s4_2,Random Forest,Clustered,0.03 (0.002),1.79 (0.020),0.78,0.03,0.002,1.79,0.02
s4,s4_2,Random Forest,Augmented,0.01 (0.002),1.83 (0.017),0.78,0.01,0.002,1.83,0.017
s4,s4_2,XGBoost,Standard,0.02 (0.002),1.56 (0.015),0.80,0.02,0.002,1.56,0.015
s4,s4_2,XGBoost,Classwise,0.02 (0.003),1.59 (0.015),0.80,0.02,0.003,1.59,0.015
s4,s4_2,XGBoost,Clustered,0.02 (0.002),1.56 (0.015),0.80,0.02,0.002,1.56,0.015
s4,s4_2,XGBoost,Augmented,0.01 (0.003),1.54 (0.011),0.80,0.01,0.003,1.54,0.011
s4,s4_2,MLP Neural Net,Standard,0.02 (0.002),1.27 (0.011),0.86,0.02,0.002,1.27,0.011
s4,s4_2,MLP Neural Net,Classwise,0.01 (0.003),1.31 (0.011),0.86,0.01,0.003,1.31,0.011
s4,s4_2,MLP Neural Net,Clustered,0.02 (0.002),1.27 (0.011),0.86,0.02,0.002,1.27,0.011
s4,s4_2,MLP Neural Net,Augmented,0.01 (0.003),1.28 (0.009),0.86,0.01,0.003,1.28,0.009
s4,s4_3,Random Forest,Standard,0.03 (0.002),1.89 (0.022),0.77,0.03,0.002,1.89,0.022
s4,s4_3,Random Forest,Classwise,0.01 (0.003),1.94 (0.023),0.77,0.01,0.003,1.94,0.023
s4,s4_3,Random Forest,Clustered,0.03 (0.002),1.89 (0.023),0.77,0.03,0.002,1.89,0.023
s4,s4_3,Random Forest,Augmented,0.01 (0.002),1.91 (0.018),0.77,0.01,0.002,1.91,0.018
s4,s4_3,XGBoost,Standard,0.02 (0.002),1.56 (0.015),0.80,0.02,0.002,1.56,0.015
s4,s4_3,XGBoost,Classwise,0.01 (0.003),1.61 (0.015),0.80,0.01,0.003,1.61,0.015
s4,s4_3,XGBoost,Clustered,0.02 (0.002),1.56 (0.016),0.80,0.02,0.002,1.56,0.016
s4,s4_3,XGBoost,Augmented,0.02 (0.003),1.52 (0.012),0.80,0.02,0.003,1.52,0.012
s4,s4_3,MLP Neural Net,Standard,0.03 (0.002),1.31 (0.010),0.84,0.03,0.002,1.31,0.01
s4,s4_3,MLP Neural Net,Classwise,0.01 (0.003),1.36 (0.011),0.84,0.01,0.003,1.36,0.011
s4,s4_3,MLP Neural Net,Clustered,0.03 (0.002),1.31 (0.011),0.84,0.03,0.002,1.31,0.011
s4,s4_3,MLP Neural Net,Augmented,0.01 (0.003),1.30 (0.008),0.84,0.01,0.003,1.3,0.008
s4,s4_4,Random Forest,Standard,0.01 (0.002),1.48 (0.020),0.89,0.01,0.002,1.48,0.02
s4,s4_4,Random Forest,Classwise,0.01 (0.003),1.48 (0.021),0.89,0.01,0.003,1.48,0.021
s4,s4_4,Random Forest,Clustered,0.01 (0.002),1.48 (0.021),0.89,0.01,0.002,1.48,0.021
s4,s4_4,Random Forest,Augmented,0.01 (0.003),1.50 (0.017),0.89,0.01,0.003,1.5,0.017
s4,s4_4,XGBoost,Standard,0.01 (0.002),1.18 (0.012),0.91,0.01,0.002,1.18,0.012
s4,s4_4,XGBoost,Classwise,0.01 (0.003),1.18 (0.012),0.91,0.01,0.003,1.18,0.012
s4,s4_4,XGBoost,Clustered,0.01 (0.002),1.18 (0.012),0.91,0.01,0.002,1.18,0.012
s4,s4_4,XGBoost,Augmented,0.01 (0.003),1.17 (0.009),0.91,0.01,0.003,1.17,0.009
s4,s4_4,MLP Neural Net,Standard,0.01 (0.002),0.99 (0.006),0.94,0.01,0.002,0.99,0.006
s4,s4_4,MLP Neural Net,Classwise,0.01 (0.003),0.99 (0.005),0.94,0.01,0.003,0.99,0.005
s4,s4_4,MLP Neural Net,Clustered,0.01 (0.002),0.99 (0.006),0.94,0.01,0.002,0.99,0.006
s4,s4_4,MLP Neural Net,Augmented,0.01 (0.003),0.98 (0.005),0.94,0.01,0.003,0.98,0.005
s4,s4_5,Random Forest,Standard,0.02 (0.002),1.48 (0.020),0.88,0.02,0.002,1.48,0.02
s4,s4_5,Random Forest,Classwise,0.01 (0.003),1.48 (0.020),0.88,0.01,0.003,1.48,0.02
s4,s4_5,Random Forest,Clustered,0.02 (0.002),1.49 (0.020),0.88,0.02,0.002,1.49,0.02
s4,s4_5,Random Forest,Augmented,0.01 (0.003),1.51 (0.017),0.88,0.01,0.003,1.51,0.017
s4,s4_5,XGBoost,Standard,0.01 (0.002),1.18 (0.011),0.91,0.01,0.002,1.18,0.011
s4,s4_5,XGBoost,Classwise,0.01 (0.003),1.18 (0.012),0.91,0.01,0.003,1.18,0.012
s4,s4_5,XGBoost,Clustered,0.01 (0.002),1.18 (0.012),0.91,0.01,0.002,1.18,0.012
s4,s4_5,XGBoost,Augmented,0.01 (0.003),1.17 (0.009),0.91,0.01,0.003,1.17,0.009
s4,s4_5,MLP Neural Net,Standard,0.01 (0.002),1.01 (0.005),0.93,0.01,0.002,1.01,0.005
s4,s4_5,MLP Neural Net,Classwise,0.02 (0.003),1.01 (0.005),0.93,0.02,0.003,1.01,0.005
s4,s4_5,MLP Neural Net,Clustered,0.01 (0.002),1.01 (0.005),0.93,0.01,0.002,1.01,0.005
s4,s4_5,MLP Neural Net,Augmented,0.01 (0.003),1.00 (0.004),0.93,0.01,0.003,1.0,0.004
s4,s4_6,Random Forest,Standard,0.02 (0.003),1.52 (0.022),0.90,0.02,0.003,1.52,0.022
s4,s4_6,Random Forest,Classwise,0.01 (0.003),1.53 (0.022),0.90,0.01,0.003,1.53,0.022
s4,s4_6,Random Forest,Clustered,0.02 (0.003),1.52 (0.023),0.90,0.02,0.003,1.52,0.023
s4,s4_6,Random Forest,Augmented,0.01 (0.003),1.54 (0.018),0.90,0.01,0.003,1.54,0.018
s4,s4_6,XGBoost,Standard,0.01 (0.003),1.15 (0.012),0.93,0.01,0.003,1.15,0.012
s4,s4_6,XGBoost,Classwise,0.01 (0.004),1.15 (0.012),0.93,0.01,0.004,1.15,0.012
s4,s4_6,XGBoost,Clustered,0.01 (0.003),1.15 (0.012),0.93,0.01,0.003,1.15,0.012
s4,s4_6,XGBoost,Augmented,0.01 (0.003),1.15 (0.009),0.93,0.01,0.003,1.15,0.009
s4,s4_6,MLP Neural Net,Standard,0.01 (0.003),0.99 (0.005),0.94,0.01,0.003,0.99,0.005
s4,s4_6,MLP Neural Net,Classwise,0.01 (0.003),0.99 (0.005),0.94,0.01,0.003,0.99,0.005
s4,s4_6,MLP Neural Net,Clustered,0.01 (0.003),0.99 (0.006),0.94,0.01,0.003,0.99,0.006
s4,s4_6,MLP Neural Net,Augmented,0.01 (0.003),0.98 (0.004),0.94,0.01,0.003,0.98,0.004
s4,s4_7,Random Forest,Standard,0.02 (0.002),1.51 (0.020),0.88,0.02,0.002,1.51,0.02
s4,s4_7,Random Forest,Classwise,0.01 (0.003),1.52 (0.020),0.88,0.01,0.003,1.52,0.02
s4,s4_7,Random Forest,Clustered,0.02 (0.002),1.52 (0.022),0.88,0.02,0.002,1.52,0.022
s4,s4_7,Random Forest,Augmented,0.01 (0.003),1.55 (0.017),0.88,0.01,0.003,1.55,0.017
s4,s4_7,XGBoost,Standard,0.01 (0.002),1.19 (0.012),0.92,0.01,0.002,1.19,0.012
s4,s4_7,XGBoost,Classwise,0.01 (0.003),1.19 (0.012),0.92,0.01,0.003,1.19,0.012
s4,s4_7,XGBoost,Clustered,0.01 (0.002),1.19 (0.012),0.92,0.01,0.002,1.19,0.012
s4,s4_7,XGBoost,Augmented,0.01 (0.003),1.18 (0.010),0.92,0.01,0.003,1.18,0.01
s4,s4_7,MLP Neural Net,Standard,0.01 (0.002),0.98 (0.005),0.94,0.01,0.002,0.98,0.005
s4,s4_7,MLP Neural Net,Classwise,0.01 (0.003),0.98 (0.005),0.94,0.01,0.003,0.98,0.005
s4,s4_7,MLP Neural Net,Clustered,0.01 (0.002),0.98 (0.005),0.94,0.01,0.002,0.98,0.005
s4,s4_7,MLP Neural Net,Augmented,0.01 (0.003),0.97 (0.004),0.94,0.01,0.003,0.97,0.004
